,Median Age by Sex,Total Population,Male,Female,Never Married,Now Married,Widowed,Divorced,"12th Grade, No Diploma",High School Diploma,GED,Some College <1 Year,Some College >1 Year,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate,Median Income,Population Below Poverty Line,Total Income 10k(%),Total Income 10k-15k(%),Total Income 15k-25k(%),Total Income 25k-35k(%),Total Income 35k-50(%),Total Income 50k-75k(%),Total Income 75k-100k(%),Total Income 100k-150k(%),Total Income 150k-200k(%),Total Income >200k(%),Poverty Rate (%),Degree Percentage (%),POC Population (%),White Population (%),Black/African American Population (%),Asian Population (%),Hawaiian/Pacific Islander Population (%),American Indian/Alaskan Population (%),Some Other Race Population (%),Two or More Races Population (%),Disabled Population (%)
2720,42.9,6718,3179,3539,3829,1974,526,854,78,1792,265,292,768,299,384,130,13,0,54304,1068,4.3,7.0,14.2,11.2,7.7,24.8,15.3,9.1,2.9,3.5,15.897588568026196,7.844596606132778,29.517713605239653,70.48228639476034,6.653766001786246,0.2381661208693063,0.0,0.2530515034236379,2.470973504019053,19.90175647514141,23.191426019648706
2721,42.5,764,422,342,320,262,36,80,0,189,13,14,102,71,76,22,0,5,62667,112,1.6,3.1,1.9,21.9,11.9,20.3,14.7,15.3,5.0,4.4,14.659685863874344,13.481675392670155,3.664921465968586,96.3350785340314,0.3926701570680628,0.0,0.0,0.3926701570680628,0.0,2.8795811518324608,12.041884816753926
2722,40.6,16912,8398,8514,9200,5209,1032,1477,203,3918,519,792,1537,965,1458,560,55,51,59410,2380,6.6,7.3,7.6,9.0,12.3,17.3,13.5,15.4,6.2,4.9,14.072847682119203,12.559129612109746,34.43117313150425,65.50378429517502,20.843188268684955,0.2306054872280037,0.065042573,0.1478240302743614,2.672658467360454,10.53689687795648,18.48391674550615
2723,37.6,110631,55091,55540,55689,37914,3580,6197,1207,10930,2423,5686,10538,6786,20110,8111,1782,1601,121303,4575,1.9,0.7,3.8,2.1,5.3,11.4,12.6,24.1,15.9,22.1,4.135368929142826,28.56703817194096,24.71820737406333,75.2149036,7.744664696152073,3.2911209335538865,0.066889027,1.0105666585315147,3.317334201082879,9.354520884742977,7.6714483282262655
2724,40.9,9858,4976,4882,5099,2948,701,1008,131,2085,364,435,1077,456,889,317,40,7,55424,1136,4.1,5.4,9.8,9.4,12.2,24.4,9.5,15.2,5.6,4.4,11.523635625887604,12.710488942990464,20.69385270846013,79.30614729153986,2.9924934063704605,0.060864273,0.0,0.852099817,2.8200446337999594,13.96835057821059,18.59403530127815
2725,38.8,52755,28432,24323,27425,16512,3160,5830,857,9198,2699,3635,5721,3411,3771,1720,74,151,61661,6416,4.0,3.8,8.6,10.9,14.7,15.2,15.5,14.1,6.5,6.7,12.161880390484312,10.834991943891572,29.92702114,69.94976779452185,15.553028148990617,0.3999620889015259,0.1232110700407544,0.0549710927874135,1.9050326983224335,12.014027106435408,14.008150886171927
2726,54.1,9980,4989,4991,5080,3314,945,970,201,2163,546,660,1189,696,724,510,103,24,47061,1705,5.5,8.4,12.3,11.6,13.4,21.6,8.3,9.4,4.1,5.3,17.084168336673347,13.637274549098196,12.354709418837675,87.26452905811624,4.98997996,1.653306613226453,0.3807615230460922,0.8517034068136272,1.0821643286573146,3.7775551102204408,26.062124248496996
2727,48.6,7920,3828,4092,4124,2824,561,942,116,2321,315,587,638,205,437,222,57,31,45888,2093,12.5,6.6,10.1,11.8,14.0,20.0,10.4,11.2,1.6,1.9,26.426767676767675,9.431818181818182,28.97727272727273,71.02272727272727,22.26010101010101,0.037878788,0.0,0.8964646464646465,4.911616161616161,0.8712121212121213,24.01515151515152
2728,45.3,27666,13794,13872,14598,8474,1686,2685,226,6225,1537,1720,3022,1105,1746,817,227,340,54839,4780,4.7,6.3,9.8,8.8,17.8,14.5,10.9,13.1,10.5,3.7,17.27752475963276,11.313525627123546,23.71864382274272,76.22352345839658,9.30383864671438,0.1445817971517385,0.057832719,0.5494108291766067,3.065134099616858,10.655678450083135,21.69811320754717
2729,36.0,68942,35185,33757,36389,21535,3469,6385,966,11950,2860,3346,7290,3433,5325,2153,214,166,63842,10701,6.3,5.6,7.4,9.0,11.7,17.4,12.9,15.8,6.8,7.2,15.521742914333789,11.397986713469294,27.98874416175916,71.78062719387312,1.5578312204461722,0.948623481,0.2306286443677294,0.3379652461489368,4.989701488207478,20.15462272634969,18.930405268196456
2730,41.9,5779,3086,2693,3058,1954,400,491,88,1144,480,253,678,177,577,196,18,9,54087,736,3.7,4.7,10.2,11.6,15.2,18.0,17.4,9.9,5.1,4.4,12.73576743381208,13.843225471534868,17.061775393666725,82.76518428793909,1.643883024744765,0.1730403183941858,0.1730403183941858,0.051912096,5.295033742862087,9.897906212147433,17.00986329814847
2731,39.4,2474,1181,1293,1288,818,135,178,10,453,38,168,373,100,163,42,20,0,53774,357,8.9,4.0,9.8,11.1,12.2,12.5,12.2,18.8,9.8,0.7,14.430072756669365,9.094583670169769,42.60307194826192,57.11398544866613,1.6168148746968474,0.0,0.2829426030719482,0.040420372,32.417138237671786,8.528698464025869,12.530315278900568
2732,36.2,16883,9084,7799,8609,4791,807,1783,145,2508,1124,1121,1601,912,1492,388,123,44,58932,1757,2.7,4.2,8.6,10.6,17.9,15.1,6.4,19.4,9.5,5.6,10.406918201741396,12.124622401232008,25.77740922821773,74.22259077178227,3.642717526505953,0.6160042646449091,0.0,0.8055440383818042,11.62708049517266,9.086062903512408,14.002250784813125
2733,42.9,3134,1583,1551,1648,934,162,280,28,431,81,201,430,170,565,102,13,16,60924,350,7.1,4.8,10.8,2.6,17.9,17.7,12.0,14.9,7.9,4.2,11.167836630504148,22.208040842373965,9.157626037,90.84237396,0.6700701978302489,0.1914486279514997,0.0,0.2233567326100829,3.190810465858328,4.881940012763241,17.42182514358647
2734,39.7,24157,12094,12063,12224,7559,1397,2223,330,5013,853,1199,2814,907,1587,496,115,1,49231,5575,5.9,7.8,10.8,9.6,16.6,14.7,12.7,14.1,4.2,3.6,23.07819679595976,9.102951525,30.47977811814381,68.84546922217163,16.17750548,0.4512149687461191,0.6747526596845634,1.204619778946061,6.209380303845676,6.437057581653351,15.254377613114212
2735,38.4,2414,1188,1226,1270,867,137,150,64,328,38,122,218,88,264,80,0,0,66169,198,2.6,1.1,6.8,12.2,15.4,14.2,17.2,18.1,2.9,9.5,8.202154101,14.25020712510356,23.03231151615576,76.96768848384424,0.1657000828500414,1.035625517812759,0.0,0.0,7.663628831814416,14.167357083678542,18.68268434134217
2736,37.2,234667,113874,120793,127434,74828,12453,22792,2282,30968,7491,9586,29235,15869,28037,9856,2491,1968,69053,28799,5.1,3.1,7.8,8.4,11.3,18.3,14.4,16.6,7.5,7.6,12.272283704142463,18.047701636787448,28.679362671359844,71.24563744,17.04670874047054,1.666616950828195,0.074999893,0.375425603,2.5397691196461367,7.050842257326339,12.28932913447566
